scope,layer,route,threshold_id,kind,criterion,epsilon,output_equivalence,observations,mean,median,p90,p99,minimum,maximum,pool_size,mean_pool_fraction,no_active_fraction
layer,0,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,322.2190956991227,306,414,485,186,567,4600,0.07004762949980928,0.0
layer,1,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,286.5444041768058,285,318,343,187,455,4600,0.06229226177756648,0.0
layer,2,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,271.8824443879675,271,301,334,173,443,4600,0.059104879214775544,0.0
layer,3,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,257.2809368196081,257,275,288,182,342,4600,0.055930638439045235,0.0
layer,4,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,240.90224649398053,241,267,286,153,325,4600,0.05237005358564794,0.0
layer,5,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,218.4002854644275,220,267,290,80,338,4600,0.047478322927049454,0.0
layer,6,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,246.99605802942494,247,313,345,99,430,4600,0.05369479522378803,0.0
layer,7,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,290.99463841172513,292,364,402,114,490,4600,0.06325970400254895,0.0
layer,8,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,289.1761919865843,290,355,388,117,471,4600,0.06286438956230093,0.0
layer,9,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,460.9282599777472,459,559,640,179,787,4600,0.10020179564733635,0.0
layer,10,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,269.62287767754225,264,330,382,137,452,4600,0.05861366906033527,0.0
layer,11,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,333.4445550637167,326,410,478,156,603,4600,0.07248794675298188,0.0
layer,12,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,426.1446365106301,423,499,563,211,678,4600,0.09264013837187611,0.0
layer,13,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,969.4716558737833,983,1085,1166,360,1357,4600,0.21075470779864855,0.0
layer,14,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,988.5378552045978,1005,1104,1176,296,1341,4600,0.21489953374012996,0.0
layer,15,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,1096.4621575027215,1118,1239,1325,282,1537,4600,0.23836133858754815,0.0
layer,16,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,1065.0594142225923,1085,1212,1308,289,1533,4600,0.23153465526578093,0.0
layer,17,q,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,748.059005387103,763,856,928,216,1124,4600,0.16262152291023976,0.0
layer,0,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,322.2197836954086,306,414,486,186,568,4600,0.07004777906421926,0.0
layer,1,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,286.5407039454726,285,318,343,188,455,4600,0.06229145737945057,0.0
layer,2,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,271.8786193847656,271,301,334,173,446,4600,0.05910404769234035,0.0
layer,3,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,257.27838685082605,257,275,288,183,342,4600,0.055930084098005664,0.0
layer,4,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,240.89948150134478,241,267,286,153,325,4600,0.052369452500292346,0.0
layer,5,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,218.39731405289447,220,267,290,79,338,4600,0.047477676968020535,0.0
layer,6,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,246.99255381099513,247,313,345,99,430,4600,0.053694033437172856,0.0
layer,7,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,290.9901939517162,292,364,402,114,490,4600,0.06325873781559048,0.0
layer,8,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,289.172176973937,290,355,387,118,469,4600,0.06286351673346456,0.0
layer,9,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,460.9217133068648,459,559,640,178,785,4600,0.10020037245801408,0.0
layer,10,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,269.61923207767677,264,330,382,137,452,4600,0.05861287653862538,0.0
layer,11,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,333.4406360063397,326,410,478,156,605,4600,0.07248709478398689,0.0
layer,12,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,426.13893102427,423,499,563,211,680,4600,0.09263889804875435,0.0
layer,13,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,969.4600949146709,983,1085,1166,359,1351,4600,0.21075219454666758,0.0
layer,14,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,988.5263770932057,1005,1104,1176,295,1344,4600,0.21489703849852299,0.0
layer,15,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,1096.4489972224,1118,1239,1325,282,1537,4600,0.2383584776570435,0.0
layer,16,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,1065.0484323970607,1085,1212,1308,291,1536,4600,0.2315322679124045,0.0
layer,17,q,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,748.0486632300205,763,856,928,215,1128,4600,0.16261927461522183,0.0
layer,0,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,322.18168755203,306,414,486,186,567,4600,0.07003949729391956,0.0
layer,1,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,286.51530481557376,285,318,343,188,455,4600,0.062285935829472554,0.0
layer,2,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,271.8532070472592,271,301,334,173,446,4600,0.05909852327114331,0.0
layer,3,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,257.26024380042907,257,275,288,183,342,4600,0.055926139956615016,0.0
layer,4,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,240.87929937644083,241,267,286,153,325,4600,0.052365065081834965,0.0
layer,5,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,218.37086361744366,220,267,290,79,338,4600,0.047471926873357315,0.0
layer,6,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,246.9623291015625,247,313,345,99,430,4600,0.05368746284816576,0.0
layer,7,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,290.95469160236297,292,364,402,114,490,4600,0.06325101991355717,0.0
layer,8,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,289.13877243292137,290,355,387,118,469,4600,0.06285625487672204,0.0
layer,9,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,460.8650781850346,459,559,640,178,784,4600,0.10018806047500751,0.0
layer,10,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,269.5883163702293,264,330,382,137,452,4600,0.05860615573265854,0.0
layer,11,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,333.4037653688525,326,410,478,156,605,4600,0.0724790794280114,0.0
layer,12,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,426.0931514552382,423,499,563,211,680,4600,0.09262894596853005,0.0
layer,13,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,969.3619127617508,983,1084,1166,359,1351,4600,0.2107308506003806,0.0
layer,14,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,988.4288179991676,1004,1103,1176,295,1344,4600,0.21487582999981902,0.0
layer,15,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,1096.34400534708,1118,1239,1325,282,1537,4600,0.23833565333632173,0.0
layer,16,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,1064.9509980748912,1085,1212,1308,291,1535,4600,0.23151108653801983,0.0
layer,17,q,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,747.9681810722976,763,856,928,215,1128,4600,0.16260177849397775,0.0
layer,0,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,321.7931628618084,306,413,485,186,567,4600,0.06995503540474096,0.0
layer,1,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,286.26110279521004,285,317,343,187,455,4600,0.06223067452069783,0.0
layer,2,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,271.59927588290856,271,301,333,173,446,4600,0.059043320844110556,0.0
layer,3,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,257.07993484246924,257,275,288,182,342,4600,0.05588694235705853,0.0
layer,4,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,240.67798021660477,241,267,286,153,325,4600,0.052321300047087994,0.0
layer,5,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,218.10767001793033,220,267,290,79,337,4600,0.04741471087346311,0.0
layer,6,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,246.6597888383709,246,313,345,99,430,4600,0.053621693225732805,0.0
layer,7,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,290.59979738329275,291,363,402,113,490,4600,0.063173868996368,0.0
layer,8,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,288.80441794473614,290,355,387,117,468,4600,0.0627835691184209,0.0
layer,9,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,460.2998827324539,458,558,639,178,784,4600,0.10006519189835955,0.0
layer,10,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,269.28002529456967,264,330,382,137,450,4600,0.058539135933602104,0.0
layer,11,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,333.03533445264475,326,410,478,156,604,4600,0.07239898575057495,0.0
layer,12,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,425.6339893778817,423,498,563,211,678,4600,0.09252912812562646,0.0
